@relation ShutterPrediction

@attribute light_intensity numeric
@attribute temperature numeric
@attribute shutter_position numeric

@data
1000, 25, 40
800, 20, 35
1200, 30, 50
900, 22, 38
1100, 28, 45
700, 18, 30
1300, 32, 55
600, 15, 28
1400, 34, 60
750, 19, 32
950, 23, 42
1050, 27, 44
850, 21, 36
1150, 29, 48
680, 17, 29
1180, 28, 47
820, 24, 37
1120, 31, 46
660, 16, 27
1250, 26, 52
780, 20, 34
1030, 29, 43
890, 22, 39
1320, 33, 57
710, 18, 31
1000, 25, 40
870, 21, 38
1150, 28, 47
770, 19, 33
